gene_id	length	effective_length
Mca22518	1254	1254
Mca22519	1014	1014
Mca22520	1287	1287
Mca22521	633	633
Mca22522	492	492
Mca22523	1026	1026
Mca22524	216	216
Mca22525	732	732
Mca22526	339	339
Mca22527	258	258
Mca22528	2253	2253
Mca04708	522	522
Mca04709	435	435
Mca04710	2925	2925
Mca04711	3522	3522
Mca04712	372	372
Mca04713	786	786
Mca22529	1665	1665
Mca22530	2556	2556
Mca22531	1254	1254
Mca22532	315	315
Mca22533	1596	1596
Mca22534	1302	1302
Mca22535	474	474
Mca22536	375	375
Mca22537	762	762
Mca22538	321	321
Mca22539	687	687
Mca22540	642	642
Mca22541	1563	1563
Mca22542	1884	1884
Mca04714	1566	1566
Mca04715	243	243
Mca04716	417	417
Mca22543	609	609
Mca22544	2655	2655
Mca22545	288	288
Mca22546	366	366
Mca22547	1443	1443
Mca22548	1365	1365
Mca22549	1410	1410
Mca22550	462	462
Mca22551	2073	2073
Mca22552	843	843
Mca22553	687	687
Mca22554	702	702
Mca22555	576	576
Mca22556	639	639
Mca22557	744	744
Mca22558	1083	1083
Mca04717	219	219
Mca04718	1968	1968
Mca22559	351	351
Mca22560	1314	1314
Mca22561	987	987
Mca22562	1671	1671
Mca22563	972	972
Mca22564	678	678
Mca22565	279	279
Mca22566	297	297
Mca22567	1791	1791
Mca22568	879	879
Mca22569	1548	1548
Mca04719	357	357
Mca04720	762	762
Mca22570	471	471
Mca22571	1089	1089
Mca22572	1962	1962
Mca22573	405	405
Mca22574	939	939
Mca22575	375	375
Mca22576	450	450
Mca22577	1737	1737
Mca22578	1218	1218
Mca22579	324	324
Mca22580	606	606
Mca22581	2085	2085
Mca22582	762	762
Mca22583	303	303
Mca22584	420	420
Mca04721	276	276
Mca04722	378	378
Mca04723	312	312
Mca04724	255	255
Mca22585	291	291
Mca22586	1155	1155
Mca22587	540	540
Mca22588	702	702
Mca22589	348	348
Mca22590	2199	2199
Mca22591	1044	1044
Mca22592	2028	2028
Mca22593	2199	2199
Mca22594	555	555
Mca22595	471	471
Mca22596	420	420
Mca22597	471	471
Mca22598	1083	1083
Mca22599	1026	1026
Mca22600	384	384
Mca22601	369	369
Mca22602	1242	1242
Mca22603	1449	1449
Mca04725	5235	5235
Mca04726	1260	1260
Mca22604	393	393
Mca22605	810	810
Mca22606	771	771
Mca22607	648	648
Mca22608	384	384
Mca22609	954	954
Mca22610	591	591
Mca22611	369	369
Mca22612	594	594
Mca22613	1461	1461
Mca22614	2106	2106
Mca22615	3531	3531
Mca22616	375	375
Mca22617	438	438
Mca04727	387	387
Mca04728	525	525
Mca04729	459	459
Mca04730	2046	2046
Mca22618	315	315
Mca22619	1854	1854
Mca22620	1467	1467
Mca22621	3345	3345
Mca22622	642	642
Mca22623	1368	1368
Mca22624	963	963
Mca22625	828	828
Mca22626	447	447
Mca22627	1164	1164
Mca04731	957	957
Mca04732	1425	1425
Mca04733	1539	1539
Mca04734	1761	1761
Mca22628	813	813
Mca22629	525	525
Mca22630	1431	1431
Mca22631	396	396
Mca22632	294	294
Mca22633	684	684
Mca22634	882	882
Mca22635	891	891
Mca04735	1632	1632
Mca04736	3048	3048
Mca04737	489	489
Mca04738	1044	1044
Mca04739	1881	1881
Mca04740	738	738
Mca04741	324	324
Mca04742	543	543
Mca22636	417	417
Mca22637	402	402
Mca22638	477	477
Mca22639	345	345
Mca22640	864	864
Mca22641	525	525
Mca22642	351	351
Mca22643	1233	1233
Mca22644	1095	1095
Mca22645	606	606
Mca04743	660	660
Mca04744	1944	1944
Mca04745	282	282
Mca04746	3408	3408
Mca00711	264	264
Mca00712	1344	1344
Mca00713	648	648
Mca00714	972	972
Mca00715	471	471
Mca00716	987	987
Mca00717	375	375
Mca22646	426	426
Mca22647	348	348
Mca22648	657	657
Mca22649	1872	1872
Mca22650	717	717
Mca22651	609	609
Mca22652	306	306
Mca22653	861	861
Mca22654	348	348
Mca22655	318	318
Mca22656	528	528
Mca22657	1062	1062
Mca22658	771	771
Mca22659	1788	1788
Mca04747	3369	3369
Mca04748	384	384
Mca04749	810	810
Mca04750	2310	2310
Mca04751	432	432
Mca04752	1044	1044
Mca22660	1347	1347
Mca22661	3249	3249
Mca22662	915	915
Mca22663	957	957
Mca22664	2901	2901
Mca22665	711	711
Mca22666	966	966
Mca22667	1857	1857
Mca22668	2844	2844
Mca22669	3297	3297
Mca22670	810	810
Mca22671	693	693
Mca22672	1575	1575
Mca22673	474	474
Mca04753	4164	4164
Mca04754	2679	2679
Mca22674	732	732
Mca22675	378	378
Mca22676	846	846
Mca22677	975	975
Mca22678	492	492
Mca22679	465	465
Mca22680	609	609
Mca22681	1077	1077
Mca22682	1170	1170
Mca22683	801	801
Mca04755	234	234
Mca04756	1446	1446
Mca04757	636	636
Mca04758	669	669
Mca04759	396	396
Mca04760	4311	4311
Mca04761	2883	2883
Mca04762	960	960
Mca04763	687	687
Mca04764	3876	3876
Mca04765	774	774
Mca04766	300	300
Mca04767	903	903
Mca04768	465	465
Mca04769	969	969
Mca04770	492	492
Mca04771	1452	1452
Mca22684	786	786
Mca22685	627	627
Mca22686	1512	1512
Mca22687	753	753
Mca22688	273	273
Mca22689	672	672
Mca22690	912	912
Mca22691	1152	1152
Mca22692	705	705
Mca22693	336	336
Mca22694	1086	1086
Mca22695	381	381
Mca04772	585	585
Mca04773	1899	1899
Mca04774	324	324
Mca04775	954	954
Mca04776	351	351
Mca22696	1302	1302
Mca22697	276	276
Mca22698	831	831
Mca22699	1515	1515
Mca22700	765	765
Mca22701	366	366
Mca22702	849	849
Mca22703	1596	1596
Mca22704	480	480
Mca22705	393	393
Mca22706	396	396
Mca22707	222	222
Mca22708	309	309
Mca22709	1812	1812
Mca04777	582	582
Mca04778	687	687
Mca04779	702	702
Mca04780	471	471
Mca04781	498	498
Mca04782	1932	1932
Mca04783	1224	1224
Mca22710	327	327
Mca22711	891	891
Mca22712	1125	1125
Mca22713	693	693
Mca22714	771	771
Mca22715	525	525
Mca22716	1008	1008
Mca22717	795	795
Mca22718	1062	1062
Mca22719	585	585
Mca22720	624	624
Mca22721	645	645
Mca22722	396	396
Mca22723	255	255
Mca22724	903	903
Mca22725	267	267
Mca22726	990	990
Mca22727	1854	1854
Mca04784	426	426
Mca04785	1848	1848
Mca04786	405	405
Mca04787	1281	1281
Mca22728	1140	1140
Mca22729	327	327
Mca22730	363	363
Mca22731	366	366
Mca22732	1434	1434
Mca22733	2583	2583
Mca22734	345	345
Mca22735	1209	1209
Mca22736	2154	2154
Mca22737	1971	1971
Mca22738	633	633
Mca22739	552	552
Mca22740	906	906
Mca22741	1395	1395
Mca04788	1464	1464
Mca04789	1068	1068
Mca04790	327	327
Mca22742	2004	2004
Mca22743	933	933
Mca22744	918	918
Mca22745	3102	3102
Mca22746	1845	1845
Mca22747	408	408
Mca22748	876	876
Mca22749	351	351
Mca22750	555	555
Mca22751	1272	1272
Mca22752	873	873
Mca22753	756	756
Mca22754	747	747
Mca22755	309	309
Mca22756	756	756
Mca22757	1332	1332
Mca22758	1041	1041
Mca22759	498	498
Mca22760	330	330
Mca22761	300	300
Mca04791	321	321
Mca04792	357	357
Mca04793	306	306
Mca04794	270	270
Mca22762	492	492
Mca22763	264	264
Mca22764	1281	1281
Mca22765	1503	1503
Mca22766	501	501
Mca22767	561	561
Mca22768	576	576
Mca22769	426	426
Mca22770	2316	2316
Mca22771	261	261
Mca22772	2241	2241
Mca22773	732	732
Mca22774	666	666
Mca04795	222	222
Mca04796	372	372
Mca04797	1704	1704
Mca22775	2169	2169
Mca22776	1107	1107
Mca22777	360	360
Mca22778	1608	1608
Mca22779	783	783
Mca22780	711	711
Mca22781	1530	1530
Mca22782	837	837
Mca22783	1131	1131
Mca22784	336	336
Mca22785	639	639
Mca22786	813	813
Mca22787	372	372
Mca22788	426	426
Mca22789	1257	1257
Mca22790	414	414
Mca04798	1773	1773
Mca04799	939	939
Mca04800	1023	1023
Mca04801	2448	2448
Mca04802	372	372
Mca04803	252	252
Mca04804	1092	1092
Mca00718	303	303
Mca00719	375	375
Mca00720	276	276
Mca00721	414	414
Mca00722	270	270
Mca00723	2946	2946
Mca00724	423	423
Mca00725	360	360
Mca22791	570	570
Mca22792	486	486
Mca22793	414	414
Mca22794	579	579
Mca22795	600	600
Mca22796	894	894
Mca22797	783	783
Mca22798	537	537
Mca22799	540	540
Mca04805	804	804
Mca04806	549	549
Mca22800	1311	1311
Mca22801	363	363
Mca22802	591	591
Mca22803	1665	1665
Mca22804	936	936
Mca22805	387	387
Mca22806	957	957
Mca22807	1644	1644
Mca22808	2718	2718
Mca22809	1041	1041
Mca22810	471	471
Mca22811	270	270
Mca22812	510	510
Mca22813	870	870
Mca22814	363	363
Mca22815	702	702
Mca22816	489	489
Mca22817	816	816
Mca22818	387	387
Mca22819	903	903
Mca22820	1146	1146
Mca22821	408	408
Mca22822	462	462
Mca22823	441	441
Mca22824	825	825
Mca22825	2286	2286
Mca22826	465	465
Mca22827	471	471
Mca22828	720	720
Mca22829	426	426
Mca22830	492	492
Mca22831	969	969
Mca22832	570	570
Mca22833	1077	1077
Mca22834	579	579
Mca22835	564	564
Mca22836	678	678
Mca22837	342	342
Mca04807	1863	1863
Mca04808	1797	1797
Mca04809	261	261
Mca04810	540	540
Mca22838	309	309
Mca22839	300	300
Mca22840	423	423
Mca22841	519	519
Mca04811	267	267
Mca04812	321	321
Mca04813	321	321
Mca04814	591	591
Mca04815	975	975
Mca04816	993	993
Mca04817	1287	1287
Mca04818	387	387
Mca22842	843	843
Mca22843	939	939
Mca22844	1362	1362
Mca22845	534	534
Mca22846	2040	2040
Mca22847	735	735
Mca22848	993	993
Mca22849	270	270
Mca22850	453	453
Mca22851	1170	1170
Mca22852	528	528
Mca22853	489	489
Mca22854	378	378
Mca04819	2721	2721
Mca04820	1557	1557
Mca04821	267	267
Mca04822	456	456
Mca04823	378	378
Mca04824	780	780
Mca04825	366	366
Mca04826	327	327
Mca22855	495	495
Mca22856	1350	1350
Mca22857	627	627
Mca22858	846	846
Mca22859	588	588
Mca22860	276	276
Mca22861	573	573
Mca22862	729	729
Mca22863	1368	1368
Mca22864	1395	1395
Mca22865	666	666
Mca22866	324	324
Mca22867	819	819
Mca22868	291	291
Mca22869	867	867
Mca22870	714	714
Mca22871	273	273
Mca22872	1464	1464
Mca04827	2493	2493
Mca04828	813	813
Mca04829	723	723
Mca04830	6729	6729
Mca04831	291	291
Mca04832	327	327
Mca22873	249	249
Mca22874	354	354
Mca22875	801	801
Mca22876	345	345
Mca22877	1575	1575
Mca22878	402	402
Mca22879	3063	3063
Mca22880	312	312
Mca22881	303	303
Mca22882	1506	1506
Mca04833	429	429
Mca04834	3999	3999
Mca04835	1977	1977
Mca04836	447	447
Mca04837	309	309
Mca04838	1602	1602
Mca04839	354	354
Mca04840	468	468
Mca04841	627	627
Mca04842	1035	1035
Mca04843	3021	3021
Mca04844	732	732
Mca22883	708	708
Mca22884	477	477
Mca22885	606	606
Mca22886	363	363
Mca22887	597	597
Mca22888	291	291
Mca22889	267	267
Mca04845	732	732
Mca04846	522	522
Mca22890	552	552
Mca22891	666	666
Mca22892	336	336
Mca22893	1428	1428
Mca22894	456	456
Mca22895	333	333
Mca22896	423	423
Mca22897	828	828
Mca22898	252	252
Mca22899	435	435
Mca22900	1044	1044
Mca22901	339	339
Mca22902	741	741
Mca22903	1101	1101
Mca22904	249	249
Mca22905	618	618
Mca04847	1068	1068
Mca04848	243	243
Mca04849	2145	2145
Mca04850	1281	1281
Mca22906	285	285
Mca22907	3678	3678
Mca22908	1074	1074
Mca22909	312	312
Mca22910	1047	1047
Mca22911	1554	1554
Mca22912	261	261
Mca22913	423	423
Mca22914	657	657
Mca04851	807	807
Mca04852	342	342
Mca04853	360	360
Mca04854	519	519
Mca04855	348	348
Mca04856	915	915
Mca04857	348	348
Mca04858	429	429
Mca04859	255	255
Mca00726	504	504
Mca00727	1920	1920
Mca00728	543	543
Mca00729	1155	1155
Mca00730	2400	2400
Mca00731	1080	1080
Mca00732	2553	2553
Mca00733	1671	1671
Mca00734	1002	1002
Mca00735	420	420
Mca00736	504	504
Mca00737	429	429
Mca00738	3111	3111
Mca22915	1146	1146
Mca22916	2334	2334
Mca22917	378	378
Mca22918	357	357
Mca22919	414	414
Mca22920	651	651
Mca22921	306	306
Mca22922	393	393
Mca22923	471	471
Mca22924	1416	1416
Mca22925	1401	1401
Mca22926	261	261
Mca22927	636	636
Mca22928	1176	1176
Mca22929	399	399
Mca22930	792	792
Mca22931	717	717
Mca22932	528	528
Mca22933	534	534
Mca22934	366	366
Mca22935	450	450
Mca22936	321	321
Mca22937	2421	2421
Mca22938	300	300
Mca22939	1107	1107
Mca22940	690	690
Mca22941	2847	2847
Mca22942	2544	2544
Mca22943	846	846
Mca22944	3201	3201
Mca22945	432	432
Mca22946	648	648
Mca22947	1209	1209
Mca04860	609	609
Mca04861	1797	1797
Mca04862	342	342
Mca04863	486	486
Mca04864	1845	1845
Mca04865	672	672
Mca04866	912	912
Mca04867	1131	1131
Mca04868	726	726
Mca04869	357	357
Mca22948	816	816
Mca22949	1212	1212
Mca22950	300	300
Mca22951	3414	3414
Mca22952	372	372
Mca22953	510	510
Mca22954	378	378
Mca22955	405	405
Mca22956	1083	1083
Mca22957	285	285
Mca22958	1680	1680
Mca22959	393	393
Mca04870	2853	2853
Mca04871	369	369
Mca04872	1230	1230
Mca04873	381	381
Mca04874	1326	1326
Mca04875	756	756
Mca22960	1413	1413
Mca22961	1959	1959
Mca22962	2109	2109
Mca22963	777	777
Mca22964	1053	1053
Mca22965	1041	1041
Mca22966	441	441
Mca22967	819	819
Mca22968	492	492
Mca22969	867	867
Mca22970	1077	1077
Mca22971	876	876
Mca22972	300	300
Mca22973	489	489
Mca04876	297	297
Mca22974	423	423
Mca22975	1350	1350
Mca22976	1767	1767
Mca22977	879	879
Mca22978	297	297
Mca22979	1467	1467
Mca22980	552	552
Mca22981	714	714
Mca22982	792	792
Mca22983	921	921
Mca22984	222	222
Mca22985	855	855
Mca22986	2358	2358
Mca22987	705	705
Mca04877	426	426
Mca04878	291	291
Mca04879	975	975
Mca04880	750	750
Mca22988	675	675
Mca22989	1602	1602
Mca22990	996	996
Mca22991	288	288
Mca22992	303	303
Mca22993	258	258
Mca22994	291	291
Mca22995	357	357
Mca22996	318	318
Mca22997	1227	1227
Mca22998	1278	1278
Mca22999	1623	1623
Mca04881	996	996
Mca23000	771	771
Mca23001	318	318
Mca23002	456	456
Mca23003	390	390
Mca23004	570	570
Mca23005	474	474
Mca23006	933	933
Mca23007	360	360
Mca23008	288	288
Mca23009	294	294
Mca23010	3117	3117
Mca04882	276	276
Mca04883	225	225
Mca04884	441	441
Mca04885	429	429
Mca23011	480	480
Mca23012	405	405
Mca23013	327	327
Mca23014	375	375
Mca23015	477	477
Mca23016	363	363
Mca23017	1899	1899
Mca23018	558	558
Mca23019	420	420
Mca23020	1215	1215
Mca23021	303	303
Mca23022	723	723
Mca23023	489	489
Mca23024	744	744
Mca23025	1380	1380
Mca04886	1503	1503
Mca04887	555	555
Mca23026	1602	1602
Mca23027	399	399
Mca23028	630	630
Mca23029	360	360
Mca23030	1011	1011
Mca23031	435	435
Mca23032	1251	1251
Mca23033	2004	2004
Mca23034	510	510
Mca23035	720	720
Mca23036	600	600
Mca23037	741	741
Mca23038	1380	1380
Mca04888	384	384
Mca04889	762	762
Mca04890	564	564
Mca23039	792	792
Mca23040	873	873
Mca23041	504	504
Mca23042	3174	3174
Mca23043	291	291
Mca23044	339	339
Mca23045	2601	2601
Mca23046	1941	1941
Mca23047	1866	1866
Mca23048	1416	1416
Mca23049	1089	1089
Mca04891	360	360
Mca04892	1371	1371
Mca04893	321	321
Mca04894	1419	1419
Mca00739	753	753
Mca00740	3576	3576
Mca00741	420	420
Mca00742	342	342
Mca00743	447	447
Mca00744	315	315
Mca23050	1065	1065
Mca23051	1593	1593
Mca23052	372	372
Mca23053	669	669
Mca23054	579	579
Mca23055	267	267
Mca23056	306	306
Mca23057	354	354
Mca23058	1701	1701
Mca23059	669	669
Mca23060	954	954
Mca23061	702	702
Mca23062	516	516
Mca23063	405	405
Mca23064	1509	1509
Mca23065	381	381
Mca23066	633	633
Mca23067	666	666
Mca23068	366	366
Mca23069	984	984
Mca23070	237	237
Mca04895	579	579
Mca04896	573	573
Mca23071	255	255
Mca23072	1107	1107
Mca23073	261	261
Mca23074	1230	1230
Mca23075	360	360
Mca23076	504	504
Mca23077	1188	1188
Mca23078	564	564
Mca23079	864	864
Mca23080	273	273
Mca23081	546	546
Mca23082	564	564
Mca23083	330	330
Mca23084	495	495
Mca23085	1833	1833
Mca23086	291	291
Mca04897	8115	8115
Mca23087	1158	1158
Mca23088	849	849
Mca23089	1314	1314
Mca23090	897	897
Mca23091	2067	2067
Mca23092	348	348
Mca23093	1275	1275
Mca23094	264	264
Mca23095	2160	2160
Mca04898	414	414
Mca23096	1593	1593
Mca23097	1659	1659
Mca23098	2637	2637
Mca23099	402	402
Mca23100	288	288
Mca23101	336	336
Mca23102	315	315
Mca23103	384	384
Mca23104	780	780
Mca23105	273	273
Mca04899	348	348
Mca04900	696	696
Mca04901	459	459
Mca04902	2553	2553
Mca04903	2952	2952
Mca04904	1050	1050
Mca04905	1296	1296
Mca23106	735	735
Mca23107	336	336
Mca23108	852	852
Mca23109	579	579
Mca23110	408	408
Mca23111	435	435
Mca23112	1059	1059
Mca23113	612	612
Mca23114	528	528
Mca23115	378	378
Mca23116	375	375
Mca23117	483	483
Mca23118	303	303
Mca23119	1149	1149
Mca23120	1173	1173
Mca23121	321	321
Mca23122	336	336
Mca23123	420	420
Mca23124	330	330
Mca23125	381	381
Mca23126	516	516
Mca23127	933	933
Mca04906	294	294
Mca04907	924	924
Mca23128	213	213
Mca23129	1038	1038
Mca23130	648	648
Mca23131	291	291
Mca23132	987	987
Mca23133	1581	1581
Mca23134	1776	1776
Mca23135	1554	1554
Mca23136	891	891
Mca23137	465	465
Mca23138	318	318
Mca23139	351	351
Mca23140	660	660
Mca23141	603	603
Mca23142	288	288
Mca23143	570	570
Mca23144	627	627
Mca23145	2634	2634
Mca23146	1191	1191
Mca23147	2415	2415
Mca23148	474	474
Mca23149	300	300
Mca23150	543	543
Mca04908	393	393
Mca23151	720	720
Mca23152	957	957
Mca23153	600	600
Mca23154	903	903
Mca23155	792	792
Mca23156	396	396
Mca23157	2742	2742
Mca23158	456	456
Mca04909	474	474
Mca23159	1038	1038
Mca23160	2019	2019
Mca23161	420	420
Mca23162	297	297
Mca23163	918	918
Mca23164	492	492
Mca23165	369	369
Mca23166	2175	2175
Mca23167	387	387
Mca23168	3930	3930
Mca23169	558	558
Mca04910	504	504
Mca04911	1713	1713
Mca04912	822	822
Mca04913	258	258
Mca04914	423	423
Mca04915	213	213
Mca04916	411	411
Mca04917	405	405
Mca04918	285	285
Mca23170	3423	3423
Mca23171	342	342
Mca23172	306	306
Mca23173	681	681
Mca23174	288	288
Mca23175	1080	1080
Mca23176	888	888
Mca23177	1212	1212
Mca23178	525	525
Mca23179	1047	1047
Mca23180	624	624
Mca23181	2919	2919
Mca23182	321	321
Mca23183	459	459
Mca23184	915	915
Mca23185	273	273
Mca23186	3033	3033
Mca23187	753	753
Mca04919	456	456
Mca04920	2016	2016
Mca04921	456	456
Mca04922	555	555
Mca04923	1119	1119
Mca23188	342	342
Mca23189	711	711
Mca23190	918	918
Mca23191	270	270
Mca23192	1179	1179
Mca23193	966	966
Mca23194	1500	1500
Mca23195	1188	1188
Mca23196	504	504
Mca23197	663	663
Mca23198	408	408
Mca23199	885	885
Mca23200	282	282
Mca23201	372	372
Mca23202	438	438
Mca23203	657	657
Mca23204	654	654
Mca23205	468	468
Mca04924	432	432
Mca04925	366	366
Mca04926	5511	5511
Mca04927	399	399
Mca04928	576	576
Mca04929	1008	1008
Mca04930	657	657
Mca00745	354	354
Mca00746	291	291
Mca00747	495	495
Mca23206	507	507
Mca23207	2037	2037
Mca23208	723	723
Mca23209	396	396
Mca23210	423	423
Mca23211	804	804
Mca23212	927	927
Mca23213	1605	1605
Mca23214	450	450
Mca23215	603	603
Mca23216	471	471
Mca23217	1041	1041
Mca23218	303	303
Mca23219	900	900
Mca23220	912	912
Mca23221	984	984
Mca23222	756	756
Mca23223	2493	2493
Mca23224	303	303
Mca23225	423	423
Mca23226	1224	1224
Mca04931	327	327
Mca23227	249	249
Mca23228	771	771
Mca23229	321	321
Mca23230	279	279
Mca23231	1173	1173
Mca23232	1431	1431
Mca23233	1263	1263
Mca23234	990	990
Mca23235	1659	1659
Mca23236	747	747
Mca23237	447	447
Mca04932	930	930
Mca04933	1887	1887
Mca04934	1704	1704
Mca04935	387	387
Mca04936	399	399
Mca04937	321	321
Mca04938	1032	1032
Mca04939	1101	1101
Mca23238	357	357
Mca23239	792	792
Mca23240	429	429
Mca23241	381	381
Mca23242	396	396
Mca23243	705	705
Mca23244	333	333
Mca23245	1065	1065
Mca23246	426	426
Mca23247	2796	2796
Mca23248	648	648
Mca23249	429	429
Mca23250	984	984
Mca23251	792	792
Mca23252	1344	1344
Mca23253	1098	1098
Mca23254	375	375
